rand_x	rand_y
0.398388	0.701801
	
0.163272	0.104631
	
0.526005	0.570091
	
0.520988	0.248202
	
0.5262	0.836473
	
0.606096	0.663052
	
0.910659	0.439611
	
0.536266	0.0158966
	
0.173432	0.870365
	
0.224544	0.908949
	
0.712813	0.243357
	
0.102305	0.443105
	
0.266702	0.465698
	
0.98651	0.265442
	
0.275584	0.742054
	
0.698649	0.201198
	
0.529278	0.570809
	
0.585548	0.300145
	
0.531707	0.398387
	
0.687283	0.160675
	
0.456758	0.730011
	
0.286866	0.351698
	
0.980439	0.23215
	
0.74164	0.750774
	
0.266698	0.393288
	
0.998894	0.405001
	
0.844564	0.579573
	
0.888258	0.944408
	
0.672917	0.720462
	
0.806874	0.138924
	
0.891433	0.307005
	
0.826116	0.533627
	
0.670569	0.255909
	
0.0632469	0.990097
	
0.556057	0.651914
	
0.720506	0.538875
	
0.868249	0.657217
	
0.853843	0.545831
	
0.786324	0.753524
	
0.472878	0.656085
	
0.816654	0.505365
	
0.665194	0.909328
	
0.0683724	0.134974
	
0.5163	0.455736
	
0.557188	0.652139
	
0.507999	0.936069
	
0.507872	0.80206
	
0.230717	0.654463
	
0.557895	0.544605
	
0.175518	0.936146
	
0.812035	0.864463
	
0.0347912	0.736496
	
0.292036	0.246537
	
0.54923	0.915971
	
0.727214	0.284564
	
0.670478	0.722489
	
0.864416	0.239319
	
0.235709	0.567088
	
0.0471284	0.0872199
	
0.904273	0.112422
	
0.474742	0.983789
	
0.536545	0.71326
	
0.759262	0.91793
	
0.657774	0.206542
	
0.359569	0.280875
	
0.668775	0.107999
	
0.138767	0.262101
	
0.134776	0.173282
	
0.352606	0.255023
	
0.165589	0.0480727
	
0.957547	0.494145
	
0.0959796	0.129556
	
0.453348	0.4125
	
0.880109	0.989857
	
0.528279	0.781549
	
0.486281	0.917681
	
0.471653	0.0636472
	
0.718466	0.250213
	
0.325432	0.532171
	
0.196714	0.175531
	
0.149	0.245259
	
0.062411	0.942429
	
0.407052	0.325026
	
0.718964	0.632935
	
0.740321	0.569905
	
0.390566	0.237549
	
0.487007	0.122106
	
0.235407	0.491867
	
0.816887	0.414699
	
0.842673	0.812607
	
0.478469	0.6322
	
0.381544	0.617892
	
0.914181	0.641226
	
0.0870644	0.291792
	
0.141051	0.640166
	
0.276502	0.168861
	
0.0420677	0.0311466
	
0.481116	0.121024
	
0.044413	0.448593
